auc,logloss,brier,base_rate,top5_exp_R,top5_n,model,test_year,secs
0.5126073461240845,0.6860359652480186,0.24498612245531548,0.3746198883492942,0.03542234332425076,1101,lightgbm,2018,10.1
0.5133339410785716,0.6731961965560913,0.23967722058296204,0.3746198883492942,0.0535876475930972,1101,xgboost,2018,7.4
0.5130312906323018,0.6620107668877809,0.23458563893444676,0.3746198883492942,0.03769300635785655,1101,random_forest,2018,58.9
0.5007372779762533,0.6669329404830933,0.23692840337753296,0.3746198883492942,-0.06675749318801083,1101,logistic,2018,4.8
0.5075376324169341,6.752513550158909,0.5023822361058434,0.3746198883492942,0.0558583106267031,1101,linear_svm,2018,1.7
0.49627712957773856,0.8810892105102539,0.299136221408844,0.3746198883492942,-0.009990917347865502,1101,mlp,2018,10.4
0.5182014774997186,0.6641727089881897,0.2356674075126648,0.3746198883492942,0.005903723887375145,1101,lstm,2018,6.5
0.509521139836042,0.6628229022026062,0.2349841296672821,0.3746198883492942,0.01725703905540421,1101,gru,2018,10.7
0.5046449031267982,0.6627041101455688,0.23492269217967987,0.3746198883492942,-0.1416893732970027,1101,tcn,2018,10.5
0.513953279373786,0.664440393447876,0.23576270043849945,0.3746198883492942,0.06267029972752047,1101,transformer,2018,97.6
0.5098961139000393,0.8616345651535484,0.3050986148620281,0.3746198883492942,0.01498637602179842,1101,ensemble_rank,2018,0.0
0.5091213837821641,0.6913192313913331,0.24699819109199367,0.385964096363129,0.013953488372092981,1075,lightgbm,2020,9.2
0.5072657768547657,0.6807007789611816,0.24273061752319336,0.385964096363129,0.1348837209302326,1075,xgboost,2020,7.3
0.5139445910014517,0.6668441411827041,0.23695765992735887,0.385964096363129,0.08139534883720922,1075,random_forest,2020,56.5
0.5152118206218892,0.6700527667999268,0.23846527934074402,0.385964096363129,0.0604651162790697,1075,logistic,2020,2.9
0.4950074744210633,6.135238469429865,0.45698659774619754,0.385964096363129,0.06744186046511635,1075,linear_svm,2020,2.0
0.5217361833868467,0.8974292278289795,0.293255090713501,0.385964096363129,0.05348837209302326,1075,mlp,2020,10.5
0.5073281332860985,0.6685696840286255,0.23775695264339447,0.385964096363129,-0.046511627906976716,1075,lstm,2020,10.9
0.5016103154813784,0.6677853465080261,0.23741087317466736,0.385964096363129,0.02093023255813964,1075,gru,2020,11.3
0.5189831275498088,0.6666333675384521,0.23686231672763824,0.385964096363129,0.09069767441860466,1075,tcn,2020,11.1
0.5034200802785778,0.6701255440711975,0.2385350614786148,0.385964096363129,-0.10465116279069775,1075,transformer,2020,117.4
0.511838422106395,0.8545078067467139,0.30211799590216987,0.385964096363129,0.05581395348837204,1075,ensemble_rank,2020,0.0
0.5164540078231914,0.6867182523297805,0.24572009408042061,0.3842038575249894,-0.028169014084507116,1065,lightgbm,2022,9.3
0.522713587682466,0.6747120022773743,0.24040208756923676,0.3842038575249894,0.0023474178403756207,1065,xgboost,2022,7.0
0.5386068247311683,0.6638514845747544,0.2355425486121445,0.3842038575249894,0.10093896713615025,1065,random_forest,2022,55.6
0.5257391770221252,0.6665056943893433,0.2367890626192093,0.3842038575249894,0.07981220657277,1065,logistic,2022,2.9
0.5105015959536148,6.128545919150412,0.458708581339905,0.3842038575249894,0.07981220657277,1065,linear_svm,2022,1.9
0.5098259920658523,0.9674901962280273,0.31484103202819824,0.3842038575249894,0.08450704225352113,1065,mlp,2022,15.0
0.5272207070934704,0.666570246219635,0.23676583170890808,0.3842038575249894,-0.032863849765258135,1065,lstm,2022,5.7
0.523916428823008,0.6653149724006653,0.23623138666152954,0.3842038575249894,-0.011737089201877882,1065,gru,2022,10.3
0.5139861966064653,0.6676986813545227,0.23732104897499084,0.3842038575249894,0.0023474178403756207,1065,tcn,2022,10.1
0.5261546436262097,0.6658334732055664,0.23646946251392365,0.3842038575249894,0.08920187793427226,1065,transformer,2022,108.8
0.5260016274439421,0.838900511278248,0.29670665911959276,0.3842038575249894,0.04225352112676062,1065,ensemble_rank,2022,0.0
0.5112665937094896,0.7063126169334414,0.2544540106140786,0.41979264844486336,0.10037700282752116,1061,lightgbm,2024,8.8
0.5157271059473594,0.6959989070892334,0.2502954304218292,0.41979264844486336,0.05325164938737048,1061,xgboost,2024,7.1
0.5067240666485185,0.6835465947036528,0.24512985192199954,0.41979264844486336,0.015551366635249697,1061,random_forest,2024,52.9
0.5003694633292807,0.6872481107711792,0.24679479002952576,0.41979264844486336,0.08623939679547599,1061,logistic,2024,4.1
0.4982965990809817,6.428003260186563,0.4764959553965085,0.41979264844486336,0.06503298774740807,1061,linear_svm,2024,1.9
0.5162196143058506,0.9009678959846497,0.30508291721343994,0.41979264844486336,0.11215834118755896,1061,mlp,2024,10.8
